rank,lei,institution_name,city,state,total_loans,white_rate,black_rate,asian_rate,native_rate,black_gap,asian_gap,native_gap,fairness_score,white_count,black_count,asian_count,native_count
1,5493001XKL0FTNOJ0866,"GENEVA FINANCIAL, LLC",ORO VALLEY,US-AZ,553,0.9328,0.9524,1.0,0.9,-0.0196,-0.0672,0.0328,-0.0196,372.0,147.0,24.0,10.0
2,549300D4ZYLSQ5LMTV35,ABSOLUTE HOME MORTGAGE CORPORATION,Fairfield,US-NJ,333,0.9565,0.9722,0.9683,1.0,-0.0157,-0.0117,-0.0435,-0.0157,161.0,108.0,63.0,1.0
3,254900K3H3XMRQNU9F32,"OVM FINANCIAL, INC.",Norfolk,US-VA,1704,0.9882,0.9892,1.0,0.9286,-0.001,-0.0118,0.0596,-0.001,1268.0,369.0,39.0,28.0
4,5493005EYZOUVJUXAX38,"LAKEVIEW COMMUNITY CAPITAL, LLC",Tempe,US-AZ,1803,0.9949,0.995,1.0,1.0,-0.0002,-0.0051,-0.0051,-0.0002,389.0,1405.0,4.0,5.0
5,549300QU641Z70NA3W22,Alpha Mortgage Corporation,Wilmington,US-NC,2449,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2226.0,159.0,52.0,12.0
6,549300PXL1KA5TOL2O82,"M/I FINANCIAL, LLC",COLUMBUS,US-OH,3087,0.9964,0.9964,0.9971,1.0,-0.0,-0.0007,-0.0036,-0.0,1103.0,277.0,1700.0,7.0
7,5493001SDQVS1NWYH012,"PREMIER LENDING, INC.",SANTA ROSA,US-CA,645,0.9882,0.9877,1.0,1.0,0.0006,-0.0118,-0.0118,0.0006,424.0,162.0,57.0,2.0
8,549300PBTV7FCWLSMM53,"MORTGAGE SOLUTIONS OF COLORADO, LLC",Littleton,US-CO,2667,0.9125,0.9116,0.9375,0.9615,0.0009,-0.025,-0.049,0.0009,1200.0,1425.0,16.0,26.0
9,549300BM4NS8HDJT3X28,"INTERCOASTAL MORTGAGE, LLC",Roanoke,US-VA,2651,0.9909,0.9899,0.9688,1.0,0.001,0.0222,-0.0091,0.001,2310.0,296.0,32.0,13.0
10,549300VMX06UV1F7NS76,"SUCCESS MORTGAGE PARTNERS, INC.",PLYMOUTH,US-MI,1037,0.9498,0.9457,0.9583,1.0,0.0041,-0.0085,-0.0502,0.0041,857.0,129.0,48.0,3.0
11,5493005XMJQ1GSXUGT67,"Wolfe Financial, Inc",Raleigh,US-NC,1836,0.9807,0.9758,1.0,0.8571,0.005,-0.0193,0.1236,0.005,1607.0,165.0,57.0,7.0
12,5493005JPZ3LXXMB0S24,"ACRISURE MORTGAGE, LLC",TALLAHASSEE,US-FL,862,0.958,0.9526,0.9231,1.0,0.0054,0.0349,-0.042,0.0054,595.0,211.0,52.0,4.0
13,2549006SV57592TPRW11,"CORPORATE INVESTORS MORTGAGE GROUP, INC",Chapel Hill,US-NC,12038,0.9963,0.9898,0.9925,1.0,0.0065,0.0038,-0.0037,0.0065,11089.0,394.0,534.0,21.0
14,54930049L5WINET09Q97,"CLICK N' CLOSE, INC.",ROCKY RIVER,US-OH,1452,0.9596,0.9524,1.0,0.9451,0.0072,-0.0404,0.0145,0.0072,966.0,294.0,28.0,164.0
15,5493004RCIKTZ2ZKII25,"Low VA Rates, LLC",Brighton,US-CO,824,0.9692,0.9607,1.0,0.9286,0.0085,-0.0308,0.0407,0.0085,520.0,280.0,10.0,14.0
16,549300E3A68XVBMBX690,"Shamrock Home Loans, Inc.",EAST PROVIDENCE,US-RI,371,0.8808,0.872,0.875,0.6,0.0088,0.0058,0.2808,0.0088,193.0,125.0,48.0,5.0
17,549300FCPKXI75DX5M03,CITYWORTH MORTGAGE LLC,FAIRFAX,US-VA,356,0.9799,0.971,1.0,,0.0089,-0.0201,,0.0089,199.0,138.0,19.0,
18,254900L67A0ZTJRS6614,First Bank,Southern Pines,US-NC,15058,0.8384,0.8244,0.6957,0.6558,0.014,0.1427,0.1825,0.014,13939.0,689.0,276.0,154.0
19,549300EM8ID8J7F8OM55,"First Heritage Mortgage, LLC",Glen Allen,US-VA,3353,0.9982,0.984,0.9972,1.0,0.0142,0.001,-0.0018,0.0142,2796.0,188.0,359.0,10.0
20,549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,DOVER,US-DE,1702,0.9643,0.9487,0.963,0.8889,0.0156,0.0014,0.0755,0.0156,1318.0,312.0,54.0,18.0
21,254900WEP08K7U7S3A80,Nations Lending Corporation,Columbus,US-OH,1729,0.9207,0.905,0.9167,0.8889,0.0157,0.004,0.0318,0.0157,1475.0,221.0,24.0,9.0
22,54930034MNPILHP25H80,Gateway First Bank,Jenks,US-OK,1226,0.9438,0.9273,0.8421,1.0,0.0165,0.1017,-0.0562,0.0165,1032.0,165.0,19.0,10.0
23,54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",WILMINGTON,US-DE,1786,0.8078,0.7906,0.7838,0.8462,0.0173,0.0241,-0.0383,0.0173,1249.0,487.0,37.0,13.0
24,549300TYV7NDBX6FUR63,"JET HOMELOANS, LP",WILMINGTON,US-DE,1255,0.9771,0.9568,0.9677,1.0,0.0203,0.0094,-0.0229,0.0203,874.0,278.0,93.0,10.0
25,549300MMIZD8222YV754,First Guaranty Mortgage Corporation,GLEN ALLEN,US-VA,2081,0.8636,0.8427,0.8961,0.75,0.0209,-0.0325,0.1136,0.0209,1532.0,464.0,77.0,8.0
26,54930021DZJ9CEN11D61,"TJC Mortgage, Inc.",WETUMPKA,US-AL,991,0.988,0.9669,1.0,1.0,0.021,-0.012,-0.012,0.021,832.0,121.0,34.0,4.0
27,549300W2VOHO3742H053,SELF-HELP Credit Union,Durham,US-NC,1357,0.8426,0.8212,0.6667,,0.0214,0.1759,,0.0214,1169.0,179.0,9.0,
28,549300EDXX36BJ0X7583,North State Bank,Raleigh,US-NC,6020,0.976,0.9545,0.9497,0.875,0.0216,0.0263,0.101,0.0216,5256.0,549.0,199.0,16.0
29,5493005WM8ZE8KHE1R85,"Allen Tate Mortgage Partners, LLC",Charlotte,US-NC,4309,0.9852,0.9628,0.9825,1.0,0.0224,0.0028,-0.0148,0.0224,3858.0,269.0,171.0,11.0
30,549300RWXUAFD1WAE410,"ATLANTIC BAY MORTGAGE GROUP, L.L.C.",VIRGINIA BEACH,US-VA,38988,0.9844,0.9583,0.9758,0.9368,0.0261,0.0086,0.0475,0.0261,34211.0,3597.0,990.0,190.0
31,549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,STRONGSVILLE,US-OH,14049,0.9849,0.9583,0.9713,0.9595,0.0266,0.0136,0.0254,0.0266,12192.0,1295.0,488.0,74.0
32,549300UFNWYY11NLMW19,"Hometown Lenders, Inc.",HUNTSVILLE,US-AL,1278,0.9654,0.9381,1.0,0.8571,0.0274,-0.0346,0.1083,0.0274,1012.0,226.0,33.0,7.0
33,549300DMIVL13D62WX91,"InterContinental Capital Group, Inc",NEW YORK,US-NY,2285,0.9597,0.9312,0.964,0.875,0.0285,-0.0042,0.0847,0.0285,1838.0,320.0,111.0,16.0
34,5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",AUSTIN,US-TX,2359,0.9521,0.9235,0.9211,1.0,0.0286,0.0311,-0.0479,0.0286,2109.0,170.0,76.0,4.0
35,549300Y7G2MW6V1OR474,"VICTORIAN FINANCE, LLC",Harrisburg,US-PA,1294,0.9972,0.9684,1.0,1.0,0.0288,-0.0028,-0.0028,0.0288,1067.0,190.0,28.0,9.0
36,549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,Atlanta,US-GA,703,0.9556,0.9255,0.8462,0.8333,0.0301,0.1095,0.1223,0.0301,496.0,188.0,13.0,6.0
37,549300GUS13Z72B6KD63,"KELLER MORTGAGE, LLC",HILLIARD,US-OH,2887,0.9681,0.9367,0.9767,1.0,0.0314,-0.0086,-0.0319,0.0314,2633.0,158.0,86.0,10.0
38,549300KJKBXR3PD3QQ56,RAPID MORTGAGE COMPANY,CINCINNATI,US-OH,1654,0.9874,0.9547,1.0,1.0,0.0326,-0.0126,-0.0126,0.0326,1347.0,243.0,60.0,4.0
39,549300MFY0P4D234OB91,HOMESPIRE MORTGAGE CORPORATION,BALTIMORE,US-MD,1708,0.9704,0.9378,0.9792,0.9667,0.0326,-0.0088,0.0037,0.0326,1148.0,482.0,48.0,30.0
40,549300ZZME37MXI1EF14,"DAS ACQUISITION COMPANY, LLC",St. Louis,US-MO,356,0.9953,0.9621,1.0,1.0,0.0332,-0.0047,-0.0047,0.0332,214.0,132.0,8.0,2.0
41,549300CY7WNAHKHYSJ73,"CORNERSTONE CAPITAL BANK, SSB",HOUSTON,US-TX,8969,0.9831,0.9495,0.975,0.9787,0.0336,0.0082,0.0044,0.0336,6876.0,1386.0,519.0,188.0
42,549300FOXIQQV5UZD367,"SOUTHERN TRUST MORTGAGE, LLC",RICHMOND,US-VA,6609,0.9743,0.9407,0.9625,0.9149,0.0337,0.0118,0.0594,0.0337,5454.0,708.0,400.0,47.0
43,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,GLENDALE,US-CA,4683,0.959,0.9248,0.9701,0.9412,0.0342,-0.0111,0.0178,0.0342,3635.0,864.0,167.0,17.0
44,549300IGSWBIHAL67063,"RESIDENTIAL MORTGAGE SERVICES, LLC",AUGUSTA,US-ME,3801,0.9521,0.9175,0.957,0.875,0.0345,-0.0049,0.0771,0.0345,3401.0,291.0,93.0,16.0
45,549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",WILMINGTON,US-DE,73836,0.9724,0.9367,0.9616,0.9536,0.0357,0.0108,0.0188,0.0357,60453.0,10103.0,2914.0,366.0
46,549300UI36AJZ0WZ4U93,"TAYLOR MORRISON HOME FUNDING, INC.",SACRAMENTO,US-CA,1992,0.9758,0.9399,0.9713,1.0,0.0359,0.0045,-0.0242,0.0359,784.0,233.0,974.0,1.0
47,549300QVQQMJ9IWR0G78,"CERTAINTY HOME LOANS, LLC",WILMINGTON,US-DE,4620,0.8994,0.8632,0.8026,0.8462,0.0362,0.0968,0.0533,0.0362,3629.0,826.0,152.0,13.0
48,5493002RF1ERFA2XR050,Renasant Bank,Tupelo,US-MS,3404,0.9645,0.9279,0.9054,0.8333,0.0366,0.0591,0.1312,0.0366,3213.0,111.0,74.0,6.0
49,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",WILMINGTON,US-DE,12643,0.9802,0.9436,0.9909,0.9294,0.0366,-0.0107,0.0508,0.0366,10251.0,1755.0,552.0,85.0
50,54930039UO39UJGI7078,TowneBank,Portsmouth,US-VA,11159,0.9484,0.9113,0.892,0.9545,0.0371,0.0565,-0.0061,0.0371,9848.0,891.0,398.0,22.0
51,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,Trenton,US-NJ,39363,0.9263,0.8886,0.8975,0.9003,0.0377,0.0289,0.0261,0.0377,28674.0,9392.0,956.0,341.0
52,549300G2LV8W3C1G3762,"EQUITY RESOURCES, INC.",NEWARK,US-OH,7894,0.9776,0.9399,0.9891,0.9643,0.0377,-0.0115,0.0133,0.0377,6655.0,566.0,645.0,28.0
53,5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",Iselin,US-NJ,3381,0.8936,0.855,0.8058,0.7647,0.0386,0.0878,0.1289,0.0386,2378.0,883.0,103.0,17.0
54,549300WTZMQSET2VY242,ACADEMY MORTGAGE CORPORATION,Salt Lake City,US-UT,1535,0.9735,0.9331,0.9583,1.0,0.0404,0.0152,-0.0265,0.0404,1172.0,299.0,48.0,16.0
55,5493005R34FLBMCPWB41,"TIDEWATER MORTGAGE SERVICES, INC.",VIRGINIA BEACH,US-VA,1416,0.9772,0.9363,0.9655,0.75,0.0409,0.0117,0.2272,0.0409,1139.0,157.0,116.0,4.0
56,5493008VVXQIDO1EZ460,"SUMMIT FUNDING, INC.",GLENDALE,US-CA,1815,0.9501,0.9091,0.9429,1.0,0.041,0.0072,-0.0499,0.041,1482.0,297.0,35.0,1.0
57,2549004Z576VEJBK3N72,"NQM FUNDING, LLC",WILMINGTON,US-DE,634,0.906,0.8644,0.8667,1.0,0.0416,0.0393,-0.094,0.0416,500.0,118.0,15.0,1.0
58,549300T0I2M6IPLVEN24,MCLEAN MORTGAGE CORPORATION,GLEN ALLEN,US-VA,3117,0.9873,0.9442,0.974,1.0,0.0431,0.0133,-0.0127,0.0431,2684.0,269.0,154.0,10.0
59,549300UF3FPC7U6RFC59,The Central Trust Bank,Jefferson City,US-MO,2555,0.9893,0.9456,0.9806,1.0,0.0437,0.0086,-0.0107,0.0437,2233.0,147.0,155.0,20.0
60,549300E8HNQO52YYHI82,American Security Mortgage Corp.,Charlotte,US-NC,18863,0.9888,0.9434,0.9909,0.9524,0.0454,-0.0021,0.0365,0.0454,16590.0,1308.0,881.0,84.0
61,54930059GZZ7G4G40O53,Primis Mortgage Company,Raleigh,US-NC,2395,0.9778,0.9318,0.9916,0.9524,0.0459,-0.0138,0.0254,0.0459,1754.0,264.0,356.0,21.0
62,549300YBQQ97B6Y7LE69,"Colten Mortgage, LLC",Denver,US-CO,485,0.9786,0.9313,0.9861,1.0,0.0473,-0.0075,-0.0214,0.0473,281.0,131.0,72.0,1.0
63,549300G5DVGM0ZHRQC33,CLEARPATH LENDING,IRVINE,US-CA,3246,0.9282,0.8807,0.9565,0.875,0.0475,-0.0283,0.0532,0.0475,2159.0,1056.0,23.0,8.0
64,549300S5YL3OH0IVCS62,FINANCE OF AMERICA REVERSE LLC,WILMINGTON,US-DE,944,0.9358,0.888,1.0,0.75,0.0478,-0.0642,0.1858,0.0478,810.0,125.0,5.0,4.0
65,549300NN0PRX3I4QGG46,"Mid-Continent Funding, Inc.",Columbia,,659,0.8797,0.8315,0.5,1.0,0.0483,0.3797,-0.1203,0.0483,474.0,178.0,4.0,3.0
66,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",Plantation,US-FL,3581,0.1827,0.1345,0.0556,0.2519,0.0483,0.1272,-0.0691,0.0483,2167.0,1108.0,36.0,270.0
67,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,WILMINGTON,US-DE,17816,0.8574,0.8088,0.8209,0.7476,0.0486,0.0366,0.1098,0.0486,13030.0,4309.0,374.0,103.0
68,5493005NE66BD75BDB43,"Towne Mortgage of the Carolinas, LLC",Raleigh,US-NC,3472,0.9628,0.9137,0.942,0.6667,0.0491,0.0208,0.2961,0.0491,2957.0,371.0,138.0,6.0
69,549300XECJ0294F1ZG19,"MATTAMY HOME FUNDING, LLC",DOVER,US-DE,3158,0.9674,0.9177,0.9536,0.9,0.0497,0.0138,0.0674,0.0497,1656.0,802.0,690.0,10.0
70,549300MXJA09WZJ0DV55,FINANCE OF AMERICA MORTGAGE LLC,WILMINGTON,US-DE,1360,0.9358,0.8851,0.9044,1.0,0.0506,0.0313,-0.0642,0.0506,1074.0,148.0,136.0,2.0
71,T68X8LLAQYRNDV034K14,United Community Bank,Greenville,US-SC,12802,0.8037,0.7531,0.8106,0.7193,0.0506,-0.0068,0.0844,0.0506,12117.0,401.0,227.0,57.0
72,254900UL88QFG0E40516,FIGURE LENDING LLC,WILMINGTON,US-DE,6400,0.6228,0.5718,0.6158,0.4062,0.051,0.0069,0.2165,0.051,5209.0,773.0,354.0,64.0
73,549300GKFNPRWNS0GF29,"CMG MORTGAGE, INC.",SAN RAMON,US-CA,5896,0.9576,0.9059,0.9608,0.9245,0.0518,-0.0031,0.0331,0.0518,4318.0,733.0,739.0,106.0
74,IUGPUX5LWRZ3B6KIZ697,Ameris Bank,Atlanta,US-GA,5677,0.9396,0.8875,0.9091,0.9412,0.0521,0.0305,-0.0016,0.0521,4305.0,1102.0,253.0,17.0
75,549300RYBJHWWDENV610,Alcova Mortgage LLC,RICHMOND,US-VA,11970,0.9725,0.9203,0.9704,0.8657,0.0522,0.0021,0.1068,0.0522,10475.0,753.0,675.0,67.0
76,54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",Carson City,US-NV,4907,0.9442,0.8911,0.936,0.8095,0.0531,0.0081,0.1347,0.0531,3906.0,808.0,172.0,21.0
77,5493002QI2ILHHZH8D20,"KBHS HOME LOANS, LLC",WILMINGTON,US-DE,1351,0.8968,0.8434,0.8728,0.75,0.0534,0.0241,0.1468,0.0534,756.0,198.0,393.0,4.0
78,549300D2MZZVH30ENJ10,"HAMILTON HOME LOANS, INC.",SUNRISE,US-FL,1007,0.9677,0.9143,0.9167,0.8,0.0535,0.0511,0.1677,0.0535,744.0,210.0,48.0,5.0
79,549300MCIFZSDHUT8X63,"NFM, INC.",DOVER,US-DE,6209,0.9823,0.9286,0.9801,0.9302,0.0537,0.0022,0.052,0.0537,5187.0,728.0,251.0,43.0
80,549300XWUSRVVOHPRY47,"EVERETT FINANCIAL, INC.",AUSTIN,,1815,0.9039,0.8498,0.9344,0.9091,0.0542,-0.0305,-0.0052,0.0542,1530.0,213.0,61.0,11.0
81,549300HW662MN1WU8550,"UNITED WHOLESALE MORTGAGE, LLC",PLYMOUTH,US-MI,42627,0.9273,0.8704,0.9383,0.8728,0.0569,-0.0109,0.0545,0.0569,30855.0,4159.0,7385.0,228.0
82,254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",SACRAMENTO,US-CA,1458,0.9469,0.8892,0.9478,1.0,0.0576,-0.001,-0.0531,0.0576,1016.0,325.0,115.0,2.0
83,5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC.",BREA,US-CA,3475,0.973,0.9153,0.9219,1.0,0.0578,0.0511,-0.027,0.0578,2631.0,708.0,128.0,8.0
84,54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",WILMINGTON,US-DE,1190,0.9707,0.9116,0.9412,0.3333,0.0591,0.0295,0.6373,0.0591,989.0,147.0,51.0,3.0
85,549300OQMU3ID8QA6M46,VELOCIO MORTGAGE L.L.C.,DALLAS,US-TX,936,0.9721,0.9119,0.9504,0.8824,0.0602,0.0217,0.0897,0.0602,430.0,227.0,262.0,17.0
86,549300BX448ALT10FI43,The Federal Savings Bank,Chicago,US-IL,3136,0.8517,0.7909,0.8438,0.7059,0.0608,0.0079,0.1458,0.0608,2333.0,722.0,64.0,17.0
87,549300SVKVT1EF3U0N48,"ON Q FINANCIAL, LLC",SCOTTSDALE,US-AZ,2645,0.937,0.8755,0.9231,0.8889,0.0614,0.0139,0.0481,0.0614,2364.0,233.0,39.0,9.0
88,5493001LHLYJE6PHUL18,Uwharrie Bank,Albemarle,US-NC,4613,0.94,0.8776,0.9688,1.0,0.0624,-0.0287,-0.06,0.0624,4268.0,237.0,96.0,12.0
89,549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",DALLAS,US-TX,9473,0.9659,0.9023,0.9326,0.9333,0.0636,0.0333,0.0326,0.0636,7511.0,1546.0,386.0,30.0
90,5493007WZXR2YE227I23,"Blue Ridge Bank, National Association",Martinsville,US-VA,4065,0.9632,0.8983,0.9079,0.9608,0.0648,0.0553,0.0024,0.0648,3151.0,787.0,76.0,51.0
91,549300CDOC4F7XSRG390,Pinnacle Bank,Nashville,US-TN,8681,0.8631,0.7981,0.8,0.8684,0.065,0.0631,-0.0053,0.065,7095.0,1268.0,280.0,38.0
92,549300370QILXLFUWD20,"ZILLOW HOME LOANS, LLC",WICHITA,US-KS,2092,0.9317,0.8659,0.943,1.0,0.0658,-0.0113,-0.0683,0.0658,1639.0,246.0,193.0,14.0
93,549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,AUSTIN,US-TX,36999,0.9463,0.878,0.9214,0.897,0.0683,0.0249,0.0493,0.0683,31583.0,3877.0,1374.0,165.0
94,549300FGXN1K3HLB1R50,"ROCKET MORTGAGE, LLC",PLYMOUTH,US-MI,130821,0.8717,0.8029,0.9043,0.7841,0.0688,-0.0327,0.0876,0.0688,102421.0,19554.0,8017.0,829.0
95,549300YN94MOAVYW0F52,"GoodLeap, LLC",GLENDALE,US-CA,2417,0.7336,0.6629,0.6905,0.5,0.0707,0.0432,0.2336,0.0707,1742.0,623.0,42.0,10.0
96,549300YW2UBCMDRMBT48,"RELIANCE FIRST CAPITAL, LLC",WILMINGTON,US-DE,3713,0.9221,0.8514,0.8312,0.6154,0.0707,0.0909,0.3067,0.0707,2695.0,915.0,77.0,26.0
97,549300GTVXJ2PGXNLM73,T2 FINANCIAL LLC,CINCINNATI,US-OH,2154,0.9568,0.8856,0.95,0.625,0.0712,0.0068,0.3318,0.0712,1805.0,201.0,140.0,8.0
98,25490018IFQOT83Q7H49,"GO MORTGAGE, LLC",Wilmington,US-DE,718,0.955,0.8833,0.9935,1.0,0.0716,-0.0385,-0.045,0.0716,444.0,120.0,153.0,1.0
99,WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,Buffalo,US-NY,1066,0.8116,0.7396,0.8571,0.6667,0.072,-0.0456,0.1449,0.072,743.0,265.0,49.0,9.0
100,54930080OKRZ7NNZIO71,AMERIFIRST FINANCIAL CORPORATION,KALAMAZOO,US-MI,2402,0.9304,0.8581,0.9286,1.0,0.0723,0.0018,-0.0696,0.0723,2184.0,155.0,56.0,7.0
101,549300UXY7OP0IC38293,Northpointe Bank,Grand Rapids,US-MI,3912,0.9471,0.8736,0.9567,0.7895,0.0736,-0.0096,0.1577,0.0736,3140.0,522.0,231.0,19.0
102,549300Q10M1VXBG2H889,"MILEND, INC.",Alpharetta,US-GA,990,0.8837,0.8083,0.8333,1.0,0.0754,0.0504,-0.1163,0.0754,731.0,240.0,18.0,1.0
103,549300UVXY7S004OQL53,"Wyndham Capital Mortgage, Inc.",Raleigh,US-NC,6597,0.9339,0.8568,0.9143,0.88,0.0771,0.0196,0.0539,0.0771,5796.0,391.0,385.0,25.0
104,C398JSK21YCXWM603F55,"Barrington Bank & Trust Company, National Association",Barrington,US-IL,1707,0.9001,0.8221,0.8462,0.8421,0.078,0.0539,0.058,0.078,1201.0,461.0,26.0,19.0
105,54930030Z1JWTP3SVD16,"TOP FLITE FINANCIAL, INC.",LANSING,US-MI,930,0.8189,0.7409,0.6364,0.75,0.078,0.1826,0.0689,0.078,718.0,193.0,11.0,8.0
106,549300RN01LBYR8ZVX74,"LOWER, LLC",LUTHERVILLE TIMONIUM,US-MD,7799,0.8761,0.7979,0.8784,0.8125,0.0782,-0.0023,0.0636,0.0782,6636.0,876.0,255.0,32.0
107,5493002B2WMHY23GFK92,"AMERICAN FINANCIAL RESOURCES, INC.",Parsippany-Troy Hills,US-NJ,1991,0.8773,0.7977,0.9143,0.7333,0.0796,-0.037,0.144,0.0796,1679.0,262.0,35.0,15.0
108,Q708HHR4LD2B7XIZNO92,First Federal Bank,Lake City,US-FL,3145,0.9431,0.863,0.8936,0.8824,0.0801,0.0495,0.0608,0.0801,2549.0,438.0,141.0,17.0
109,549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",DOVER,US-DE,9183,0.8952,0.8149,0.9225,0.7719,0.0803,-0.0272,0.1233,0.0803,6623.0,2129.0,374.0,57.0
110,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",JEFFERSON CITY,US-MO,27525,0.8352,0.7529,0.8435,0.7402,0.0823,-0.0083,0.095,0.0823,20120.0,6363.0,607.0,435.0
